HCP_ID,Account_ID,Account_Name
HCP150,ACC010,Valley Health Partners
HCP151,ACC010,Valley Health Partners
HCP152,ACC010,Valley Health Partners
HCP153,ACC010,Valley Health Partners
HCP154,ACC010,Valley Health Partners
HCP155,ACC010,Valley Health Partners
HCP156,ACC010,Valley Health Partners
HCP157,ACC010,Valley Health Partners
HCP158,ACC010,Valley Health Partners
HCP159,ACC010,Valley Health Partners
HCP160,ACC010,Valley Health Partners
HCP161,ACC011,Summit Care Clinic
HCP162,ACC011,Summit Care Clinic
HCP163,ACC011,Summit Care Clinic
HCP164,ACC011,Summit Care Clinic
HCP165,ACC011,Summit Care Clinic
HCP166,ACC011,Summit Care Clinic
HCP167,ACC012,Greenfield Medical Associates
HCP168,ACC012,Greenfield Medical Associates
HCP169,ACC012,Greenfield Medical Associates
HCP170,ACC012,Greenfield Medical Associates
HCP171,ACC012,Greenfield Medical Associates
HCP172,ACC012,Greenfield Medical Associates
HCP173,ACC012,Greenfield Medical Associates
HCP174,ACC012,Greenfield Medical Associates
HCP175,ACC012,Greenfield Medical Associates
HCP176,ACC012,Greenfield Medical Associates
HCP177,ACC013,Oakdale Physicians Group
HCP178,ACC013,Oakdale Physicians Group
HCP180,ACC013,Oakdale Physicians Group
HCP181,ACC013,Oakdale Physicians Group
HCP182,ACC013,Oakdale Physicians Group
HCP183,ACC014,Clearwater Health Center
HCP184,ACC014,Clearwater Health Center
HCP185,ACC014,Clearwater Health Center
HCP186,ACC014,Clearwater Health Center
HCP187,ACC014,Clearwater Health Center
HCP188,ACC014,Clearwater Health Center
HCP189,ACC015,Ridgecrest Community Hospital
HCP190,ACC015,Ridgecrest Community Hospital
HCP191,ACC015,Ridgecrest Community Hospital
HCP192,ACC015,Ridgecrest Community Hospital
HCP193,ACC015,Ridgecrest Community Hospital
HCP194,ACC015,Ridgecrest Community Hospital
HCP195,ACC015,Ridgecrest Community Hospital
HCP196,ACC015,Ridgecrest Community Hospital
HCP197,ACC016,Westside Family Medicine
HCP198,ACC016,Westside Family Medicine
HCP199,ACC016,Westside Family Medicine
HCP200,ACC017,Maplewood Clinic
HCP201,ACC017,Maplewood Clinic
HCP202,ACC017,Maplewood Clinic
HCP203,ACC018,Cedar Point Medical
HCP204,ACC018,Cedar Point Medical
HCP205,ACC018,Cedar Point Medical
HCP206,ACC018,Cedar Point Medical
HCP207,ACC019,Hillside Health Practice
HCP208,ACC019,Hillside Health Practice
HCP209,ACC019,Hillside Health Practice
HCP210,ACC019,Hillside Health Practice
HCP211,ACC020,Thornton Medical Group
HCP212,ACC020,Thornton Medical Group
HCP213,ACC020,Thornton Medical Group
HCP214,ACC021,Blue Ridge Physicians
HCP215,ACC021,Blue Ridge Physicians
HCP216,ACC021,Blue Ridge Physicians
HCP217,ACC021,Blue Ridge Physicians
HCP218,ACC022,Ashwood Family Practice
HCP219,ACC022,Ashwood Family Practice
HCP220,ACC023,Springdale Medical Center
